i,# source_system,supplier_name,supplier_level1, spend ,count(*)
2,PCARD,451716381,,$53.73 ,1
6,PCARD,#1 RBRT DUBLIN,,$34.00 ,1
7,PCARD,#11 HOF'S HUT TORRANCE,,$34.35 ,1
8,PCARD,#146 LAWRENCEVILLE GA,,$252.26 ,2
12,PCARD,#38 OCEAN PRIME PHOENIX,,$512.89 ,2
13,PCARD,#59 CAP CITY DUBLIN,,$168.99 ,2
14,PCARD,#65 OP DENVER TECH CTR,,$901.22 ,1
15,PCARD,#711 TMZ,,$14.87 ,1
16,PCARD,#744 NJ MONTHLY (NEWSS,,$11.07 ,1
17,PCARD,(PC) 0990 CED,,"$3,672.72 ",3
18,PCARD,(PC) 1879 CED,,$788.23 ,1
19,PCARD,(PC) 1955 CES,,$44.76 ,3
20,PCARD,(PC) 1963 CED,,$729.94 ,1
21,PCARD,(PC) 4161 CED,,$16.70 ,1
22,PCARD,(PC) 5353 CED,,$180.19 ,1
23,PCARD,(PC) 6055 CED,,$4.26 ,1
24,PCARD,(PC) 6550 ALL PHASE,,"$1,619.97 ",2
25,PCARD,(PC) 8019 EW SARASOTA,,$390.04 ,1
26,PCARD,00111 - AKRON/CANTON AIRP,,$261.00 ,3
27,PCARD,0032-SAR CNBC,,$10.48 ,2
28,PCARD,0233-CLSC AIRSIDE,,$4.06 ,1
30,PCARD,040 TORCHYS HIGHLAND VILL,,$20.74 ,2
31,PCARD,0554-CLB COLUMBUS MARK,,$6.78 ,1
33,PCARD,0561-CLB TRAVELMART B,,$54.61 ,5
34,PCARD,05784 - CLEVELAND AIRPORT,,$200.00 ,1
35,PCARD,059 TORCHYS LAS COLINAS,,$33.17 ,1
36,PCARD,063 TORCHYS STONEHILL,,$515.88 ,2
38,PCARD,0967-LB BOATHOUSE,,$73.72 ,1
39,PCARD,0XC006DCC170 TOW PR,,$494.00 ,1
40,PCARD,1 SPECIALTY DISTRIBUTION,,"$4,805.00 ",1
41,PCARD,10029 CAVA  IRVINE,,$19.23 ,1
42,PCARD,10100 COLLEGE BOULEVARD H,,$736.35 ,4
43,PCARD,1012 F AND B LLC,,$124.98 ,6
44,PCARD,10132 CAVA FLOWER MND,LOWES,$168.14 ,14
45,PCARD,1016 - SUPER CHIX CHICKEN,,$35.18 ,1
46,PCARD,1077 M&S GRILL ANAHEIM,,$97.90 ,1
47,PCARD,1082 FALCON'S BURGER LLC,,$10.11 ,1
48,ARS_JDE,108th STREET PARTNERSHIP,,"$590,327.70 ",73
49,PCARD,112 Trinity Car Wash,,$146.99 ,7
50,PCARD,116 TORCHYS DUBLIN,,$25.37 ,1
51,PCARD,11TH HOUR BUSINESS CENTER,,$50.00 ,2
52,PCARD,1200 LANDMARK,,$102.00 ,5
53,PCARD,127 TORCHYS TYRONE,,$388.48 ,1
54,PCARD,12777 FAIR LAKES CIRCLE O,,"$3,780.44 ",16
55,PCARD,13 COINS - INTERNATIONAL,,$64.82 ,1
56,PCARD,135 RUMBI ISLAND GRILL,,$22.82 ,1
57,PCARD,140 PLAT PARKING,,$4.00 ,1
58,PCARD,1400 PLAZA PLACE SOUTHLAK,,"$16,459.21 ",16
59,PCARD,14501 San Bernardino LLC,,$42.41 ,1
60,PCARD,14527 Costa Mesa LLC,,$129.48 ,1
61,PCARD,1488-PHO TODAY S4-R32,,$10.28 ,1
62,PCARD,1551 IND MASSAVEESSNTL,,$9.07 ,1
63,ARS_JDE,1600 NORTH OAK STREET LLC,,$400.00 ,1
64,ARS_JDE,180 VOLUSIA LLC,,"$24,000.00 ",3
65,ARS_JDE,1800 WATER DAMAGE,,"$27,991.85 ",6
66,PCARD,1800FLOWERS  PALMER FLORI,1800FLOWERS,$109.43 ,1
69,PCARD,1-800-PACK-RAT,,"$1,100.72 ",5
70,ARS_JDE,1-800-RADIATOR & A/C OF CENTRAL TX,1-800-RADIATOR,"$5,333.52 ",19
71,ARS_JDE,1-800-RADIATOR INC,1-800-RADIATOR,$821.06 ,4
72,ARS_JDE,1884 FLEET SERVICES INC,,"$3,954.54 ",15
73,PCARD,18TH & VINE PARTNERS  JV,,$3.86 ,1
74,PCARD,1910 PUBLIC HOUSE,,$89.00 ,1
75,PCARD,1928 GREEN LEAFS / BAN,,$28.77 ,1
76,PCARD,1930 JERSEY MIKES SUBS,,$14.44 ,1
77,PCARD,1931 ASIAN CHAO ORIENT,,$19.38 ,1
78,PCARD,19621 HESPERIAN BLVD INC,,$19.58 ,1
81,PCARD,1PASSWORD,,$95.76 ,1
82,PCARD,1ST CHOICE CE,,$49.90 ,2
83,ARS_JDE,1ST CHOICE CLEANING,,"$37,021.50 ",18
84,ARS_JDE,1ST RESPONSE TOWING INC,,"$3,101.50 ",21
85,ARS_JDE,20/20 RELINING & ROOTER,,"$37,200.00 ",22
86,PCARD,200 STATE ST. GARAGE,,$38.00 ,1
87,PCARD,201 ASHVILLE RALEIGH LLC,,$315.11 ,2
88,PCARD,2022 LINA & ANDY INC,,$19.27 ,2
89,PCARD,2025 E SHELBY DR,,$23.00 ,1
90,PCARD,205 WEST STATE ROAD 436 L,,$431.20 ,1
91,PCARD,2073-CLT HERITAGE BOOK,,$55.70 ,1
92,PCARD,2075-CLT CNBC NEWS C 1,,$53.30 ,5
93,PCARD,2077-CLT CNBC NEWS B4,,$32.96 ,5
94,PCARD,2078-CLT MARKETPLACE B,,$66.46 ,5
95,PCARD,2082-CLT B5 CHAR-GOT-A,,$20.22 ,2
97,PCARD,2092-CLT CNBC EXPRESS,,$42.42 ,4
98,PCARD,2097-CLT TRIP ADVISOR,,$15.52 ,2
99,PCARD,2099-CLT CHARLOTTE'S G,,$7.70 ,1
100,PCARD,2233 ULMERTON LLC,,$370.78 ,2
102,PCARD,2325 STEMMONS TRS INC,,"$2,190.59 ",2
103,PCARD,23267 LLC,,$25.44 ,1
104,PCARD,24 FORD OF EASTON,,$765.55 ,9
105,PCARD,2401 MCKINNEY AVE LLC,,$73.79 ,1
108,PCARD,24HOURWRISTBANDS.COM,,$171.00 ,1
110,PCARD,255 COURTLAND TENANT LLC,,$621.26 ,2
112,PCARD,2726 EASTON,,$150.01 ,1
113,PCARD,2727 STEMMONS FREEWAY OPC,,$317.16 ,1
114,PCARD,2730 MASHPEE,,$154.65 ,1
116,PCARD,29JER1113 INC,,$354.71 ,2
117,PCARD,2CHECKO*MALWAREBYTES,,($137.18),1
120,ARS_JDE,2J SUPPLY INC,2J SUPPLY,"$35,795.08 ",134
121,PCARD,2ND GEN BIESTERFIELD INC,,$106.52 ,1
122,PCARD,2ND GEN PIZZA INC,,$170.49 ,2
124,PCARD,2TARTSBAKERY_1,,$17.88 ,1
125,PCARD,3 OLIVES PIZZA AND DELI,,$38.98 ,1
126,PCARD,3 PRINCIPLES INTEGRATE,,$4.19 ,1
127,ARS_JDE,300 MANLEY ST LLC,,"$176,594.74 ",27
128,PCARD,301 TAKE 5 CAR WASH,,$42.95 ,2
130,ARS_JDE,3030 MYERS ST LLC,,"$704,530.11 ",38
131,PCARD,304 PURCELL TIRE,,"$1,158.87 ",2
132,PCARD,305 PIZZA,,$23.29 ,1
133,PCARD,3102-DEN BIG BOWL / TH,,$46.39 ,2
134,PCARD,3281 MYR STARBUCKS 66141,STARBUCKS,$13.82 ,1
137,PCARD,33 MILE RADIUS,,"$53,324.00 ",118
138,PCARD,3400 PARADISE OWNER LP,,"$1,021.83 ",1
139,PCARD,3401 - EMSCO,,$362.38 ,1
